app_id,release_date,release_price,initial_list_price,discount_percent,currency,release_price_steamspy,avg_playtime,owners_min,owners_max,owners_median,review_count,positive_count,ts_min,ts_max,positive_ratio
567130,2017-02-07,4.99,4.99,0.0,USD,4.99,111,20000.0,50000.0,35000.0,26.0,25.0,1486501812.0,1494183584.0,96.15384615384616
542260,2016-11-15,5.99,5.99,0.0,USD,5.99,432,0.0,20000.0,10000.0,20.0,19.0,1479246929.0,1486779135.0,95.0
33230,2010-03-09,19.99,19.99,0.0,USD,19.99,1117,2000000.0,5000000.0,3500000.0,,,,,
12430,2009-02-23,4.99,4.99,0.0,USD,4.99,4,0.0,20000.0,10000.0,,,,,
40720,2009-12-10,4.99,4.99,0.0,USD,4.99,62,200000.0,500000.0,350000.0,,,,,
583950,2018-11-28,,,,,0.0,2731,1000000.0,2000000.0,1500000.0,6875.0,4107.0,1543440600.0,1551135274.0,59.73818181818182
2290,2007-08-03,,,,,0.0,28,200000.0,500000.0,350000.0,,,,,
25850,2009-04-07,4.99,4.99,0.0,USD,4.99,522,50000.0,100000.0,75000.0,,,,,
560000,2017-01-09,19.99,19.99,0.0,USD,19.99,88,0.0,20000.0,10000.0,22.0,21.0,1484107390.0,1491236797.0,95.45454545454545
578330,2017-04-04,19.99,19.99,0.0,USD,19.99,882,500000.0,1000000.0,750000.0,86.0,54.0,1491329779.0,1499026990.0,62.7906976744186
589290,2020-03-05,9.99,19.99,50.0,USD,9.99,896,500000.0,1000000.0,750000.0,717.0,649.0,1583378911.0,1591114833.0,90.5160390516039
578620,2019-07-18,19.99,19.99,0.0,USD,19.99,322,200000.0,500000.0,350000.0,251.0,225.0,1563455769.0,1571175415.0,89.64143426294821
568220,2018-04-09,24.99,24.99,0.0,USD,24.99,1504,1000000.0,2000000.0,1500000.0,116.0,72.0,1523252086.0,1530914212.0,62.06896551724138
590590,2018-02-05,9.99,9.99,0.0,USD,9.99,174,50000.0,100000.0,75000.0,94.0,90.0,1517859415.0,1524006314.0,95.74468085106383
40100,2010-03-01,3.24,12.99,75.0,USD,3.24,1815,500000.0,1000000.0,750000.0,,,,,
23460,2009-02-27,0.67,3.99,83.0,USD,0.67,386,50000.0,100000.0,75000.0,,,,,
33950,2010-11-05,4.99,4.99,0.0,USD,4.99,18,50000.0,100000.0,75000.0,1.0,1.0,1294250151.0,1294250151.0,100.0
545690,2016-11-07,0.99,0.99,0.0,USD,0.99,303,50000.0,100000.0,75000.0,41.0,41.0,1478556699.0,1486229847.0,100.0
12480,2009-12-03,9.99,9.99,0.0,USD,9.99,61,20000.0,50000.0,35000.0,,,,,
11260,2008-08-18,1.99,7.99,75.0,USD,1.99,185,20000.0,50000.0,35000.0,,,,,
540020,2016-10-18,1.99,1.99,0.0,USD,1.99,213,200000.0,500000.0,350000.0,10.0,2.0,1476778663.0,1484315150.0,20.0
41800,2009-11-16,14.99,14.99,0.0,USD,14.99,396,200000.0,500000.0,350000.0,,,,,
551690,2016-11-14,,,,,0.0,11,0.0,20000.0,10000.0,35.0,28.0,1479176643.0,1485138574.0,80.0
574820,2017-05-08,1.99,1.99,0.0,USD,1.99,314,500000.0,1000000.0,750000.0,13.0,10.0,1494741372.0,1499377195.0,76.92307692307693
583740,2017-04-11,,,,,0.0,19,50000.0,100000.0,75000.0,,,,,
578900,2017-03-24,19.99,19.99,0.0,USD,19.99,354,0.0,20000.0,10000.0,18.0,17.0,1490394988.0,1497905735.0,94.44444444444444
542350,2016-12-21,,,,,0.79,241,50000.0,100000.0,75000.0,7.0,7.0,1482394395.0,1487657550.0,100.0
2710,2008-03-12,2.99,2.99,0.0,USD,2.99,980,100000.0,200000.0,150000.0,,,,,
36000,2009-08-04,3.99,3.99,0.0,USD,3.99,152,100000.0,200000.0,150000.0,,,,,
553960,2017-02-03,19.99,19.99,0.0,USD,19.99,208,20000.0,50000.0,35000.0,8.0,5.0,1486157274.0,1493409100.0,62.5
559340,2018-03-01,,,,,0.0,531,100000.0,200000.0,150000.0,24.0,12.0,1519975770.0,1527628991.0,50.0
595460,2017-02-27,0.99,0.99,0.0,USD,0.99,395,20000.0,50000.0,35000.0,35.0,26.0,1488268433.0,1495372382.0,74.28571428571429
561340,2016-12-02,2.99,2.99,0.0,USD,2.99,329,200000.0,500000.0,350000.0,1.0,1.0,1480671162.0,1480671162.0,100.0
577080,2018-01-24,2.99,2.99,0.0,USD,2.99,141,100000.0,200000.0,150000.0,21.0,12.0,1516924400.0,1523633653.0,57.14285714285714
41100,2009-10-28,,,,,0.0,189,200000.0,500000.0,350000.0,,,,,
